source_run,game_id,model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,rep,randomization_block_id,manifest_counts_verified,n_rounds,canonical_risk_treatment,canonical_minimum_horizon,stop_forced,canonical_mechanism,parse_failures,any_parse_failure,parse_clean,included_in_behavioral_estimands,behavioral_exclusion_reason
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_adv_coop,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_adv_coop__rep0008,qwen2.5:7b-instruct-fp16,0.9,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8,qwen2.5:7b-instruct-fp16::rep8,True,8.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_adv_coop,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_adv_coop__rep0009,qwen2.5:7b-instruct-fp16,0.9,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9,qwen2.5:7b-instruct-fp16::rep9,True,13.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0000,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,0,qwen2.5:7b-instruct-fp16::rep0,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0001,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,1,qwen2.5:7b-instruct-fp16::rep1,True,7.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0002,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,2,qwen2.5:7b-instruct-fp16::rep2,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0003,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,3,qwen2.5:7b-instruct-fp16::rep3,True,11.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0004,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,4,qwen2.5:7b-instruct-fp16::rep4,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0005,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5,qwen2.5:7b-instruct-fp16::rep5,True,10.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0006,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,6,qwen2.5:7b-instruct-fp16::rep6,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0007,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7,qwen2.5:7b-instruct-fp16::rep7,True,16.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0008,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8,qwen2.5:7b-instruct-fp16::rep8,True,8.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0009,qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9,qwen2.5:7b-instruct-fp16::rep9,True,13.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0000,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,0,qwen2.5:7b-instruct-fp16::rep0,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0001,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,1,qwen2.5:7b-instruct-fp16::rep1,True,7.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0002,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,2,qwen2.5:7b-instruct-fp16::rep2,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0003,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,3,qwen2.5:7b-instruct-fp16::rep3,True,11.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0004,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,4,qwen2.5:7b-instruct-fp16::rep4,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0005,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5,qwen2.5:7b-instruct-fp16::rep5,True,10.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0006,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,6,qwen2.5:7b-instruct-fp16::rep6,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0007,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7,qwen2.5:7b-instruct-fp16::rep7,True,16.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0008,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8,qwen2.5:7b-instruct-fp16::rep8,True,8.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0009,qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9,qwen2.5:7b-instruct-fp16::rep9,True,13.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0000,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,0,qwen2.5:7b-instruct-fp16::rep0,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0001,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,1,qwen2.5:7b-instruct-fp16::rep1,True,7.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0002,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,2,qwen2.5:7b-instruct-fp16::rep2,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0003,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,3,qwen2.5:7b-instruct-fp16::rep3,True,11.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0004,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,4,qwen2.5:7b-instruct-fp16::rep4,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0005,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5,qwen2.5:7b-instruct-fp16::rep5,True,10.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0006,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,6,qwen2.5:7b-instruct-fp16::rep6,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0007,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7,qwen2.5:7b-instruct-fp16::rep7,True,16.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0008,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8,qwen2.5:7b-instruct-fp16::rep8,True,8.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_neutral,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_neutral__rep0009,qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9,qwen2.5:7b-instruct-fp16::rep9,True,13.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0000,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,0,qwen2.5:7b-instruct-fp16::rep0,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0001,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,1,qwen2.5:7b-instruct-fp16::rep1,True,7.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0002,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,2,qwen2.5:7b-instruct-fp16::rep2,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0003,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,3,qwen2.5:7b-instruct-fp16::rep3,True,11.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0004,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,4,qwen2.5:7b-instruct-fp16::rep4,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0005,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5,qwen2.5:7b-instruct-fp16::rep5,True,10.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0006,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,6,qwen2.5:7b-instruct-fp16::rep6,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0007,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7,qwen2.5:7b-instruct-fp16::rep7,True,16.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0008,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8,qwen2.5:7b-instruct-fp16::rep8,True,8.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_10__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0009,qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9,qwen2.5:7b-instruct-fp16::rep9,True,13.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0000,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,0,qwen2.5:7b-instruct-fp16::rep0,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0001,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,1,qwen2.5:7b-instruct-fp16::rep1,True,7.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0002,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,2,qwen2.5:7b-instruct-fp16::rep2,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0003,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,3,qwen2.5:7b-instruct-fp16::rep3,True,11.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0004,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,4,qwen2.5:7b-instruct-fp16::rep4,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0005,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5,qwen2.5:7b-instruct-fp16::rep5,True,10.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0006,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,6,qwen2.5:7b-instruct-fp16::rep6,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0007,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,7,qwen2.5:7b-instruct-fp16::rep7,True,16.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0008,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,8,qwen2.5:7b-instruct-fp16::rep8,True,8.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_60__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0009,qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,9,qwen2.5:7b-instruct-fp16::rep9,True,13.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0000,qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,0,qwen2.5:7b-instruct-fp16::rep0,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0001,qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,1,qwen2.5:7b-instruct-fp16::rep1,True,7.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0002,qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,2,qwen2.5:7b-instruct-fp16::rep2,True,9.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0003,qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,3,qwen2.5:7b-instruct-fp16::rep3,True,11.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0004,qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,4,qwen2.5:7b-instruct-fp16::rep4,True,5.0,True,True,False,True,0,False,True,True,included
gpu_run_archive/pilot-identified-t1-0-results.tar.gz::pilot_identified_t1_0/lane_a/persona_baseline_risk_averse,ai_race_risk_90__qwen2.5-7b-instruct-fp16__en__persona_risk_averse__rep0005,qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,5,qwen2.5:7b-instruct-fp16::rep5,True,10.0,True,True,False,True,0,False,True,True,included
